contrast_type,evaluation_mode,candidate_pool,system,baseline,metric,n_queries,delta,ci_low,ci_high,p_value,p_value_corrected,significant,first_stage,reranker,depth
vs_baseline,job_to_talent,full,bge,bm25,hit@1,177,-0.05649717514124294,-0.1016949152542373,-0.01694915254237288,0.0163,0.21189999999999998,False,,,
vs_baseline,job_to_talent,full,bge-base,bm25,hit@1,177,-0.062146892655367235,-0.1016949152542373,-0.02824858757062147,0.0015,0.021,True,,,
vs_baseline,job_to_talent,full,bge-large,bm25,hit@1,177,-0.04519774011299435,-0.0903954802259887,-0.005649717514124294,0.0555,0.666,False,,,
vs_baseline,job_to_talent,full,jina,bm25,hit@1,177,0.005649717514124294,-0.04519774011299435,0.05649717514124294,0.9183,1.0,False,,,
vs_baseline,job_to_talent,full,minilm,bm25,hit@1,177,-0.011299435028248588,-0.062146892655367235,0.03954802259887006,0.7372,1.0,False,,,
vs_baseline,job_to_talent,full,mpnet,bm25,hit@1,177,-0.01694915254237288,-0.06779661016949153,0.03389830508474576,0.5797,1.0,False,,,
vs_baseline,job_to_talent,full,qwen,bm25,hit@1,177,0.01694915254237288,-0.03954802259887006,0.07344632768361582,0.6128,1.0,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding,bm25,hit@1,177,0.03389830508474576,-0.022598870056497175,0.0903954802259887,0.266,1.0,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding4,bm25,hit@1,177,0.03954802259887006,-0.01694915254237288,0.1016949152542373,0.2203,1.0,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding8,bm25,hit@1,177,0.05084745762711865,-0.005649717514124294,0.10734463276836158,0.1035,1.0,False,,,
vs_baseline,job_to_talent,full,qwen4,bm25,hit@1,177,0.03954802259887006,-0.01694915254237288,0.1016949152542373,0.2232,1.0,False,,,
vs_baseline,job_to_talent,full,qwen8,bm25,hit@1,177,0.062146892655367235,0.0,0.12429378531073447,0.0647,0.7116999999999999,False,,,
vs_baseline,job_to_talent,full,sheared_llama,bm25,hit@1,177,-0.03389830508474576,-0.07344632768361582,0.005649717514124294,0.1297,1.0,False,,,
vs_baseline,job_to_talent,full,snowflake,bm25,hit@1,177,-0.005649717514124294,-0.05649717514124294,0.04519774011299435,0.9153,1.0,False,,,
vs_baseline,job_to_talent,full,bge,bm25,recall@1,177,-0.034422921711057305,-0.06610169491525424,-0.005512846381490482,0.0273,0.3003,False,,,
vs_baseline,job_to_talent,full,bge-base,bm25,recall@1,177,-0.041767554479418885,-0.07062146892655367,-0.01715092816787732,0.0027,0.0378,True,,,
vs_baseline,job_to_talent,full,bge-large,bm25,recall@1,177,-0.033292978208232446,-0.06389561474307237,-0.006120527306967985,0.0245,0.29400000000000004,False,,,
vs_baseline,job_to_talent,full,jina,bm25,recall@1,177,0.019249394673123487,-0.021092615012106533,0.06194545332257197,0.3697,1.0,False,,,
vs_baseline,job_to_talent,full,minilm,bm25,recall@1,177,-0.005986010223298358,-0.04295332257196662,0.030266343825665863,0.7473,1.0,False,,,
vs_baseline,job_to_talent,full,mpnet,bm25,recall@1,177,-0.006268496099004571,-0.04120359160613397,0.029379203658864664,0.7235,1.0,False,,,
vs_baseline,job_to_talent,full,qwen,bm25,recall@1,177,0.013976324993274147,-0.02545130481571159,0.05404997309658325,0.488,1.0,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding,bm25,recall@1,177,0.02744148506860371,-0.01177024482109228,0.06571159537261231,0.1702,1.0,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding4,bm25,recall@1,177,0.026730990290312322,-0.014179415217550779,0.06890004769242057,0.2077,1.0,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding8,bm25,recall@1,177,0.04363734194242669,0.0014124293785310734,0.08732983588915792,0.0465,0.46499999999999997,False,,,
vs_baseline,job_to_talent,full,qwen4,bm25,recall@1,177,0.041377454936776976,0.00013451708366962555,0.08568973634651599,0.0592,0.5328,False,,,
vs_baseline,job_to_talent,full,qwen8,bm25,recall@1,177,0.05776163572773743,0.012078961528114074,0.1053679042238364,0.0161,0.20929999999999999,False,,,
vs_baseline,job_to_talent,full,sheared_llama,bm25,recall@1,177,-0.02340597255851493,-0.05246166263115415,0.002824858757062147,0.1007,0.8056,False,,,
vs_baseline,job_to_talent,full,snowflake,bm25,recall@1,177,0.00013451708366962682,-0.03640032284100081,0.03596986817325801,0.9933,1.0,False,,,
vs_baseline,job_to_talent,full,bge,bm25,recall@5,177,-0.05691662386577641,-0.10454945948590015,-0.011838237092474443,0.0177,0.12390000000000001,False,,,
vs_baseline,job_to_talent,full,bge-base,bm25,recall@5,177,-0.08248832147137232,-0.12609215643113944,-0.04186388705456502,0.0002,0.0028,True,,,
vs_baseline,job_to_talent,full,bge-large,bm25,recall@5,177,-0.06676327439039303,-0.1135203120796341,-0.023353877760657428,0.0037,0.0333,True,,,
