system,evaluation_mode,candidate_pool,n_queries,hit@1,hit@1_ci_low,hit@1_ci_high,hit@1_std,recall@1,recall@1_ci_low,recall@1_ci_high,recall@1_std,ndcg@1,ndcg@1_ci_low,ndcg@1_ci_high,ndcg@1_std,hit@5,hit@5_ci_low,hit@5_ci_high,hit@5_std,recall@5,recall@5_ci_low,recall@5_ci_high,recall@5_std,ndcg@5,ndcg@5_ci_low,ndcg@5_ci_high,ndcg@5_std,hit@10,hit@10_ci_low,hit@10_ci_high,hit@10_std,recall@10,recall@10_ci_low,recall@10_ci_high,recall@10_std,ndcg@10,ndcg@10_ci_low,ndcg@10_ci_high,ndcg@10_std,hit@20,hit@20_ci_low,hit@20_ci_high,hit@20_std,recall@20,recall@20_ci_low,recall@20_ci_high,recall@20_std,ndcg@20,ndcg@20_ci_low,ndcg@20_ci_high,ndcg@20_std,hit@50,hit@50_ci_low,hit@50_ci_high,hit@50_std,recall@50,recall@50_ci_low,recall@50_ci_high,recall@50_std,ndcg@50,ndcg@50_ci_low,ndcg@50_ci_high,ndcg@50_std,hit@100,hit@100_ci_low,hit@100_ci_high,hit@100_std,recall@100,recall@100_ci_low,recall@100_ci_high,recall@100_std,ndcg@100,ndcg@100_ci_low,ndcg@100_ci_high,ndcg@100_std,mrr,mrr_ci_low,mrr_ci_high,mrr_std,mrr@10,mrr@10_ci_low,mrr@10_ci_high,mrr@10_std
bge,job_to_talent,full,177,0.01694915254237288,0.0,0.03954802259887006,0.009706987318222445,0.010357815442561204,0.0,0.024505649717513785,0.00651401820146749,0.01694915254237288,0.0,0.03954802259887006,0.009706987318222445,0.0847457627118644,0.04519774011299435,0.12994350282485875,0.021059167577406127,0.04835889157923057,0.02354048964218456,0.0780199085283831,0.013891906320305687,0.036430243231302326,0.018024555156225704,0.058247252906573,0.010311512445539843,0.15819209039548024,0.10734463276836158,0.21468926553672316,0.027584603845377108,0.093034460831071,0.05766790177807129,0.13235270379338174,0.019240997752873835,0.05225210570849705,0.03176859734808516,0.07570892669164854,0.011161908160508603,0.192090395480226,0.13559322033898305,0.2542372881355932,0.02973940024561059,0.11916012424487,0.07927990559346493,0.16323284295741916,0.021362914290031995,0.05972815470423802,0.039005964055961025,0.0836288847205673,0.011360496173449712,0.2994350282485876,0.23163841807909605,0.3672316384180791,0.034097408479619305,0.1868625724557928,0.13922995084012033,0.23753026634382562,0.024942936043548976,0.07652946161936384,0.05524502456615065,0.1012442064261947,0.011658013889399058,0.4293785310734463,0.3559322033898305,0.5028248587570622,0.03698110065095494,0.28836549514515614,0.23341523589404947,0.34596690268300434,0.02877968587013148,0.09765181821910722,0.07606494947103068,0.1223587719720119,0.011706547603426962,0.06338025979681136,0.04141693855441042,0.08925376182958839,0.01222245402338561,0.053149941709263744,0.030945486951842887,0.079587536992198,0.012418621321758761
bge-base,job_to_talent,full,177,0.011299435028248588,0.0,0.02824858757062147,0.007996426613435498,0.0030131826741996233,0.0,0.007909604519774011,0.002202289993825946,0.011299435028248588,0.0,0.02824858757062147,0.007996426613435498,0.05084745762711865,0.022598870056497175,0.0847457627118644,0.01643036225771334,0.02278719397363465,0.008662900188323917,0.04067796610169491,0.00826964540055659,0.016434014917442924,0.0064671670004003345,0.028412544046425348,0.005627772065176399,0.07344632768361582,0.03954802259887006,0.11299435028248588,0.0193849737770605,0.03408662900188324,0.015254237288135592,0.055936911487758874,0.010392812315867939,0.020784721736680813,0.009887284038570728,0.0334130608530035,0.006015165375881839,0.11299435028248588,0.06779661016949153,0.15819209039548024,0.023533415113984803,0.049625797930882676,0.02725805268178149,0.07486526891187904,0.012159154285992105,0.026419020419221676,0.014323662214468786,0.04004408018227311,0.006556498254602353,0.22033898305084745,0.15819209039548024,0.2824858757062147,0.031111723886821274,0.12467287891016705,0.08582434514637904,0.16568475310000733,0.020306489232287697,0.043719395456614,0.029550284474829117,0.059090414316568196,0.007576498306261791,0.384180790960452,0.3107344632768362,0.4576271186440678,0.036591286679270855,0.23593195881331475,0.18420974270550544,0.2895217917675545,0.026712426996873442,0.06458254223187555,0.04969121874309709,0.08059204484137082,0.007891829774872074,0.03803993980935883,0.02194942352439517,0.05827018814868555,0.009356329815393088,0.027257645054255222,0.010989933638238724,0.04771802977311451,0.009452677691306421
bge-large,job_to_talent,full,177,0.02824858757062147,0.005649717514124294,0.05649717514124294,0.01267597916643488,0.011487758945386064,0.0028107344632769616,0.022975517890772127,0.005371067172821993,0.02824858757062147,0.005649717514124294,0.05649717514124294,0.01267597916643488,0.0847457627118644,0.04519774011299435,0.12994350282485875,0.02112451302615289,0.038512241054613934,0.01902071563088512,0.06205273069679849,0.011011491574492091,0.031457428788563675,0.01573484694051937,0.04986017403663216,0.00872058338933321,0.11864406779661017,0.07344632768361582,0.1694915254237288,0.024656396632955883,0.05301318267419962,0.030506120527306987,0.07928436911487757,0.012447190124146804,0.03756709276464902,0.02140674819552677,0.05656604747819218,0.009002879553447161,0.15254237288135594,0.1016949152542373,0.20903954802259886,0.027416945427044252,0.07218186709712134,0.04430992736077482,0.10466807909604518,0.015340328842042806,0.04326752037636376,0.026492449076413033,0.06279824850172945,0.009276179292967921,0.2937853107344633,0.22598870056497175,0.3615819209039548,0.03450230380784409,0.1677947758456233,0.12388334005918752,0.21582090578912608,0.023490424024333594,0.06547243296222356,0.047388039817825044,0.08542621999291698,0.009772785099620972,0.4293785310734463,0.3559322033898305,0.5028248587570622,0.037271041275112986,0.2617305011372808,0.20829919962335217,0.3157749865482916,0.02750059742766313,0.08395006269392528,0.06545983565979242,0.10404696305808322,0.00992040289869916,0.06351899946598703,0.038820495275021634,0.09248818339437544,0.013762169633963912,0.051999820643888445,0.026835485606672052,0.0812446193166532,0.013978954268202292
bm25,job_to_talent,full,177,0.07344632768361582,0.03954802259887006,0.11299435028248588,0.019455453652305478,0.04478073715361851,0.020766074791498546,0.07336561743341403,0.013552486849369183,0.07344632768361582,0.03954802259887006,0.11299435028248588,0.019455453652305478,0.1751412429378531,0.12429378531073447,0.23163841807909605,0.02826275802208119,0.10527551544500698,0.06911386871132635,0.14628745077897623,0.01994308000918632,0.08586201996008934,0.056421798241699114,0.11897138126545061,0.016025552571830477,0.24293785310734464,0.1807909604519774,0.3050847457627119,0.03199275172067563,0.1602660992491501,0.11463790446841293,0.2106018110890992,0.02443073431702791,0.10505916156599578,0.07469528131734925,0.13957710933761747,0.016657556268038005,0.3615819209039548,0.288135593220339,0.4350282485875706,0.035616732790879714,0.2220277838921907,0.1713278059040771,0.2766491794457896,0.026873981525422887,0.12491953414170595,0.09410581262399564,0.15943861714945592,0.016635669942866534,0.576271186440678,0.5028248587570622,0.6497175141242938,0.03689892368080766,0.39175715997749894,0.33184106500843785,0.45368420891725975,0.031143670002980545,0.16477757615186345,0.13348175624631864,0.1987906320657991,0.016473743630186388,0.672316384180791,0.6045197740112994,0.7401129943502824,0.03504167775653697,0.49740748893291264,0.43692162239831733,0.5595221127742315,0.031225880696174033,0.18549934676996682,0.15534631832286191,0.21861710019387226,0.01606261901261253,0.1376584292097697,0.10081322030674171,0.17842287662376546,0.019838363898226498,0.1194646220069949,0.08174451842884048,0.16173005784234598,0.020382095334535416
jina,job_to_talent,full,177,0.07909604519774012,0.03954802259887006,0.11864406779661017,0.02028264611302236,0.064030131826742,0.03248587570621469,0.10122410546139358,0.01764389270508954,0.07909604519774012,0.03954802259887006,0.11864406779661017,0.02028264611302236,0.24858757062146894,0.1864406779661017,0.3107344632768362,0.032583711659428916,0.162095531587057,0.11567368601266906,0.21388589282657078,0.025101182904313093,0.12463516176246583,0.08735501761438265,0.1653279403084676,0.019991105895813696,0.3220338983050847,0.2542372881355932,0.3954802259887006,0.03533754223512153,0.2058404871964194,0.15569157067038422,0.26130050505050506,0.027033102646958598,0.1402456360324365,0.1023736878575733,0.1814892096691329,0.020106702500058637,0.3954802259887006,0.3220338983050847,0.4689265536723164,0.03683612983950938,0.26656639029520385,0.21240183310098565,0.3267770929635336,0.02930726854189907,0.15826603848950266,0.12086645341315166,0.19906139176524368,0.02005091558975854,0.5649717514124294,0.4915254237288136,0.6384180790960452,0.037572634817129975,0.3761690757453469,0.31882557414337076,0.4379120044268349,0.030366474942215813,0.18545279751331611,0.14913768528761184,0.22534487050081395,0.019542584170075664,0.6836158192090396,0.615819209039548,0.751412429378531,0.03529566955472877,0.5100814439797491,0.4487138026756671,0.5722438213857706,0.03172822153450303,0.21266237369885543,0.17665803294726362,0.2514229241386828,0.01912922828469756,0.16044326847064677,0.12052141787156287,0.20330754754177632,0.02109683606339199,0.14671105730427764,0.10588271231279706,0.19052198233342296,0.021567219783825035
minilm,job_to_talent,full,177,0.062146892655367235,0.02824858757062147,0.1016949152542373,0.018093707998738263,0.03879472693032015,0.01694915254237288,0.06610169491525424,0.012620855479657427,0.062146892655367235,0.02824858757062147,0.1016949152542373,0.018093707998738263,0.21468926553672316,0.15819209039548024,0.2768361581920904,0.030984348380318893,0.13855504194487245,0.09627632254750898,0.1860651001540832,0.022953053927713313,0.09718511087144029,0.06785755514810439,0.13119195916908136,0.01613563408504223,0.2711864406779661,0.20903954802259886,0.3389830508474576,0.033618116880123936,0.18242595445985277,0.1339924670433145,0.23484163670604347,0.025887248035152327,0.11265774387776759,0.08225430951698252,0.14713433066816684,0.01668877603315725,0.4067796610169492,0.3333333333333333,0.480225988700565,0.0370209438141427,0.25732323232323234,0.20341433401814757,0.3141034283513097,0.028364355842441482,0.13713782372296762,0.10529658326351363,0.17231974025377308,0.01707925682161799,0.5819209039548022,0.5084745762711864,0.655367231638418,0.03742244423134434,0.4160625626727322,0.354399763372221,0.47946885623792396,0.032087755741067744,0.17402357964541973,0.14275003368512648,0.2084082768239169,0.016813380176527778,0.7288135593220338,0.6666666666666666,0.7911016949152522,0.0335984488378233,0.5691387237997407,0.5088270721745298,0.6309264864137745,0.0312378611729675,0.20437254150281103,0.17483561302603803,0.23706753502825484,0.016014491474429474,0.1352981011779632,0.10093719257134937,0.1749183587204185,0.018801914669364917,0.11774056138462918,0.08241850506681016,0.15847496861268048,0.019326615882615087
mpnet,job_to_talent,full,177,0.05649717514124294,0.022598870056497175,0.096045197740113,0.017505011288705005,0.038512241054613934,0.014500941619585686,0.06779661016949153,0.013392647508730995,0.05649717514124294,0.022598870056497175,0.096045197740113,0.017505011288705005,0.1638418079096045,0.11299435028248588,0.22033898305084745,0.027686320887094093,0.10796341135324188,0.06927495291902074,0.1509957627118644,0.0210914790496323,0.08427372631097098,0.05375107712144225,0.11887929612882935,0.01668147171527586,0.2598870056497175,0.1977401129943503,0.327683615819209,0.032906026696230974,0.17080367843079708,0.12337980287132827,0.2223312116320591,0.024800424883120925,0.10652199629493203,0.07505923015428015,0.14188366097617625,0.016931281065567558,0.3728813559322034,0.3050847457627119,0.4463276836158192,0.03636528091075805,0.2472295595176951,0.1941752421307506,0.3040572186758627,0.028140245629280553,0.12750308636150812,0.09593134763880488,0.1619150438885558,0.016856001870618486,0.5875706214689266,0.5141242937853108,0.6610169491525424,0.03690970837739996,0.4302632866192188,0.3675409054222614,0.4943458342504953,0.03237001532636524,0.17175559061422688,0.13949838376605722,0.20666347426979773,0.01690941418836046,0.7175141242937854,0.6497175141242938,0.7853107344632768,0.03399959983748532,0.5714456917846747,0.5078753026634383,0.6339236034680951,0.03178901472774945,0.20033763641628727,0.16907207270477506,0.23368362571637513,0.016301147841514943,0.12497702423122221,0.09085115943268823,0.16308736352718223,0.018361485659359286,0.1078042328042328,0.07277514348488925,0.14700026903416735,0.018858552948308533
qwen,job_to_talent,full,177,0.0903954802259887,0.05084745762711865,0.13559322033898305,0.021626468584708188,0.05875706214689266,0.029661016949152543,0.09312617702448212,0.016318864382208906,0.0903954802259887,0.05084745762711865,0.13559322033898305,0.021626468584708188,0.24858757062146894,0.1864406779661017,0.3163841807909605,0.032489597973926816,0.14622496147919878,0.10403976202705016,0.19405281629857898,0.022962921283252818,0.12232059564383198,0.0873648207186287,0.162333400812558,0.019281089643385346,0.3559322033898305,0.288135593220339,0.4293785310734463,0.03588057129697633,0.22621126519431603,0.17530303030303027,0.28173258003766477,0.027241578633732895,0.1500538678387075,0.1139057669373643,0.19032114639866324,0.019526213082466805,0.480225988700565,0.4067796610169492,0.5536723163841808,0.03771317756870711,0.32391163450485483,0.26654408797417267,0.38545469831486784,0.030494920783264868,0.180056049914308,0.14415923018534935,0.22050647876421134,0.01948632268790912,0.6666666666666666,0.5932203389830508,0.7344632768361582,0.035894055986068624,0.5048193802431091,0.44330135495389744,0.5681243732726784,0.03220041844264233,0.2233324695589564,0.18849472197200576,0.2618770848873716,0.018720129944987455,0.7627118644067796,0.7005649717514124,0.8248587570621468,0.03219222206496127,0.6199305402695233,0.5597655428375766,0.6807225707437571,0.031114391433301143,0.24690775203165702,0.21358194666446118,0.2840874405168987,0.018117492980219873,0.1812045569178526,0.14057052846019866,0.22615166924662364,0.021950647644024247,0.16347412788090754,0.12177551340686933,0.20951999820643888,0.022609554324297558
qwen3_embedding,job_to_talent,full,177,0.10734463276836158,0.062146892655367235,0.15819209039548024,0.023434657438675954,0.07222222222222222,0.039736346516007534,0.10941619585687383,0.017654346483424205,0.10734463276836158,0.062146892655367235,0.15819209039548024,0.023434657438675954,0.2655367231638418,0.2033898305084746,0.3333333333333333,0.0333385549438897,0.17276029055690073,0.12637812752219532,0.22455004035512507,0.025052251397343978,0.14082126998564098,0.10238592010094485,0.18312912847480983,0.02062648530260611,0.3559322033898305,0.288135593220339,0.4293785310734463,0.036262887583091014,0.2295827524641084,0.17873055616699687,0.2849221635238584,0.027269965257553794,0.16230191368075958,0.12377667048404413,0.20469584133520824,0.02076739631054545,0.4915254237288136,0.4180790960451977,0.5649717514124294,0.03734793403615691,0.31775686648568,0.2616411389928339,0.3776305885733851,0.02950833104154692,0.18921564403197916,0.15116551263313127,0.23078631852125112,0.020401512887320464,0.6610169491525424,0.5932203389830508,0.7288135593220338,0.035511048718097335,0.4828142196786265,0.42047596118570696,0.5449254347347569,0.03162670954793999,0.2298393073478155,0.1928743770344047,0.2697798439892618,0.019840355695259774,0.7457627118644068,0.6836158192090396,0.807909604519774,0.03286071099421359,0.6091104752121701,0.5478330214982757,0.6694821092278719,0.031130909790062267,0.2560631121682822,0.2198651787034454,0.2953550405753732,0.019344974577645783,0.19692108884060247,0.1529393155730635,0.24469002595274608,0.023443145025256944,0.17932696619137298,0.13419642857142858,0.2281644022957582,0.024144360433381352
qwen3_embedding4,job_to_talent,full,177,0.11299435028248588,0.06779661016949153,0.1638418079096045,0.023819718902335807,0.07151172744393083,0.03954802259887006,0.1091765108714261,0.017626695280144645,0.11299435028248588,0.06779661016949153,0.1638418079096045,0.023819718902335807,0.3163841807909605,0.24858757062146894,0.384180790960452,0.0347954142324407,0.20122655122655123,0.15131141927752095,0.25453530462005036,0.026474160916937255,0.15548919676634382,0.1170613862182445,0.19771718396873714,0.020674036618078578,0.4180790960451977,0.3446327683615819,0.4915254237288136,0.037110273936106726,0.28940066524812286,0.2317843996869421,0.3505764209895566,0.030365934044897763,0.18730241534575437,0.14823564604871048,0.2304517140895619,0.021020307391294783,0.5423728813559322,0.4689265536723164,0.615819209039548,0.037396264639939586,0.3820113972656346,0.3217638399735857,0.44590172304155357,0.03182317487437024,0.21499314527439456,0.17663433067544912,0.2573857454800704,0.020571898427335793,0.7175141242937854,0.6497175141242938,0.7853107344632768,0.03367517581136197,0.5463509183848166,0.48448275124122586,0.6087137109594737,0.031745546054055045,0.254869180692833,0.21848189877666943,0.2952001886533043,0.019631097250907358,0.7966101694915254,0.7344632768361582,0.8531073446327684,0.03044584552479089,0.6472888693227676,0.5888398360114462,0.7054019462176241,0.02985012257668841,0.2755329161418681,0.2400778149276591,0.31477673058083894,0.01900652630590431,0.2128076758515415,0.16895191752415833,0.261116802435471,0.023363941238051952,0.19688368756165367,0.15174838579499597,0.2467770827728455,0.024058154683495203
