model,pool,n_queries,n_unreachable,pct_unreachable,median_ratio,max_ratio
BM25,Full-Pool,177,3,1.694915254237288,1.000000000729026,1.0935764847747451
BM25,Application-Pool,159,36,22.641509433962266,1.000000000945067,11.326574166253058
MPNet,Full-Pool,177,7,3.954802259887006,1.0000000010958905,1.1333564424307587
MPNet,Application-Pool,159,21,13.20754716981132,0.9999999988517204,9.508280288715973
Sheared-LLaMA,Full-Pool,177,2,1.1299435028248588,1.0000000009458685,1.026520154765262
Sheared-LLaMA,Application-Pool,159,19,11.949685534591195,0.9999999990693048,3.8209287099319664
Qwen3-Emb.$_{0.6B}$,Full-Pool,177,7,3.954802259887006,1.0,1.440744923650069
Qwen3-Emb.$_{0.6B}$,Application-Pool,160,22,13.750000000000002,0.9999999990226199,4.978338585312762
Qwen3-Rerank$_{8B}$,Full-Pool,177,68,38.4180790960452,1.0000000001182174,17.15116024374881
Qwen3-Rerank$_{8B}$,Application-Pool,160,117,73.125,1.0000000002101799,10631.143988632946
