system,evaluation_mode,candidate_pool,analysis,measure,unit,group,n,mean,ci_low,ci_high
bm25,talent_to_job,full,quality_of_service,recall@10,query,Female,79,0.20126582278481012,0.12447257383966243,0.28565400843881855
bm25,talent_to_job,full,quality_of_service,recall@10,query,Male,142,0.2392410015649452,0.176056338028169,0.30672926447574334
bm25,talent_to_job,full,quality_of_service,ndcg@10,query,Female,79,0.14129318693172818,0.08428869836588619,0.20524102385888437
bm25,talent_to_job,full,quality_of_service,ndcg@10,query,Male,142,0.16161858266855553,0.11605567860961775,0.21169103924727659
bm25,talent_to_job,full,quality_of_service,recall@1,query,Female,79,0.0780590717299578,0.02953586497890295,0.13713080168776373
bm25,talent_to_job,full,quality_of_service,recall@1,query,Male,142,0.07394366197183098,0.035211267605633804,0.11971830985915492
bm25,talent_to_job,full,quality_of_service,mrr,query,Female,79,0.162658427805922,0.10272558778922553,0.23200568135009436
bm25,talent_to_job,full,quality_of_service,mrr,query,Male,142,0.1702426032578094,0.12647895137746026,0.21991878331239217
bm25,job_to_talent,full,equal_opportunity,retrieved@1,relevant_pair,Female,122,0.07377049180327869,0.03278688524590164,0.12295081967213115
bm25,job_to_talent,full,equal_opportunity,retrieved@1,relevant_pair,Male,252,0.015873015873015872,0.003968253968253968,0.031746031746031744
bm25,job_to_talent,full,equal_opportunity,retrieved@10,relevant_pair,Female,122,0.13114754098360656,0.07377049180327869,0.19672131147540983
bm25,job_to_talent,full,equal_opportunity,retrieved@10,relevant_pair,Male,252,0.11507936507936507,0.07936507936507936,0.15476190476190477
bm25,job_to_talent,full,equal_opportunity,mrr,relevant_pair,Female,122,0.10111949779867971,0.058314646267256395,0.14957099313503103
bm25,job_to_talent,full,equal_opportunity,mrr,relevant_pair,Male,252,0.05524724873008858,0.03864120439717025,0.07468744807247527
bm25,job_to_talent,full,representation,share@10_minus_pool_share,query,Female,177,-0.0022324545891485724,-0.02433848768035115,0.02004856280839424
bm25,job_to_talent,full,representation,share@10_minus_pool_share,query,Male,177,0.0022324545891485555,-0.020048562808394257,0.024338487680351132
bm25,talent_to_job,observed,quality_of_service,recall@10,query,Female,60,0.8308333333333332,0.7444444444444444,0.9083333333333333
bm25,talent_to_job,observed,quality_of_service,recall@10,query,Male,108,0.751954732510288,0.6802417695473252,0.8198559670781894
bm25,talent_to_job,observed,quality_of_service,ndcg@10,query,Female,60,0.548549195337209,0.4728248524078244,0.6237139567489924
bm25,talent_to_job,observed,quality_of_service,ndcg@10,query,Male,108,0.5308307670971996,0.46699304813206527,0.5950545431993207
bm25,talent_to_job,observed,quality_of_service,recall@1,query,Female,60,0.20194444444444445,0.11777777777777777,0.29278472222222207
bm25,talent_to_job,observed,quality_of_service,recall@1,query,Male,108,0.24845679012345678,0.17592592592592593,0.32407407407407407
bm25,talent_to_job,observed,quality_of_service,mrr,query,Female,60,0.5022665451573014,0.41236198484832937,0.5939730196896165
bm25,talent_to_job,observed,quality_of_service,mrr,query,Male,108,0.4976405929514057,0.42850030169973696,0.5668637863302985
bm25,job_to_talent,observed,equal_opportunity,retrieved@1,relevant_pair,Female,121,0.17355371900826447,0.10743801652892562,0.2396694214876033
bm25,job_to_talent,observed,equal_opportunity,retrieved@1,relevant_pair,Male,250,0.124,0.084,0.168
bm25,job_to_talent,observed,equal_opportunity,retrieved@10,relevant_pair,Female,121,0.6363636363636364,0.5537190082644629,0.71900826446281
bm25,job_to_talent,observed,equal_opportunity,retrieved@10,relevant_pair,Male,250,0.736,0.68,0.788
bm25,job_to_talent,observed,equal_opportunity,mrr,relevant_pair,Female,121,0.31547718280352943,0.2564268852523223,0.3775472055135784
bm25,job_to_talent,observed,equal_opportunity,mrr,relevant_pair,Male,250,0.30321695949385524,0.26756139579993105,0.34135760033658025
bm25,job_to_talent,observed,representation,share@10_minus_pool_share,query,Female,173,-0.015127554546914473,-0.026342968988396425,-0.004342041402579947
bm25,job_to_talent,observed,representation,share@10_minus_pool_share,query,Male,173,0.015127554546914473,0.004342041402579945,0.026342968988396425
mpnet,talent_to_job,full,quality_of_service,recall@10,query,Female,79,0.27320675105485237,0.18143459915611818,0.3670886075949367
mpnet,talent_to_job,full,quality_of_service,recall@10,query,Male,142,0.24005141962888438,0.17879499217527384,0.3067348535658394
mpnet,talent_to_job,full,quality_of_service,ndcg@10,query,Female,79,0.1477128328580128,0.09434422522418402,0.20613493408827124
mpnet,talent_to_job,full,quality_of_service,ndcg@10,query,Male,142,0.1532787343775699,0.1118806223716158,0.19834733577139532
mpnet,talent_to_job,full,quality_of_service,recall@1,query,Female,79,0.04430379746835443,0.006329113924050633,0.0949367088607595
mpnet,talent_to_job,full,quality_of_service,recall@1,query,Male,142,0.05633802816901408,0.02582159624413145,0.09272300469483567
mpnet,talent_to_job,full,quality_of_service,mrr,query,Female,79,0.13920537200208882,0.09070034661652421,0.19508435885145636
mpnet,talent_to_job,full,quality_of_service,mrr,query,Male,142,0.17597725720591836,0.13110303769702772,0.22397038736377045
mpnet,job_to_talent,full,equal_opportunity,retrieved@1,relevant_pair,Female,122,0.00819672131147541,0.0,0.02459016393442623
mpnet,job_to_talent,full,equal_opportunity,retrieved@1,relevant_pair,Male,252,0.03571428571428571,0.015873015873015872,0.05952380952380952
mpnet,job_to_talent,full,equal_opportunity,retrieved@10,relevant_pair,Female,122,0.14754098360655737,0.09016393442622951,0.21311475409836064
mpnet,job_to_talent,full,equal_opportunity,retrieved@10,relevant_pair,Male,252,0.13095238095238096,0.09126984126984126,0.1746031746031746
mpnet,job_to_talent,full,equal_opportunity,mrr,relevant_pair,Female,122,0.057737955060520055,0.03605041707517634,0.08368940339574295
mpnet,job_to_talent,full,equal_opportunity,mrr,relevant_pair,Male,252,0.07253756175199567,0.049984691280399465,0.09681236066158318
mpnet,job_to_talent,full,representation,share@10_minus_pool_share,query,Female,177,-0.08162892127375083,-0.10807285006937456,-0.05468066551193576
mpnet,job_to_talent,full,representation,share@10_minus_pool_share,query,Male,177,0.08162892127375083,0.05468066551193576,0.10807285006937453
mpnet,talent_to_job,observed,quality_of_service,recall@10,query,Female,60,0.8247222222222222,0.7399930555555556,0.9025
mpnet,talent_to_job,observed,quality_of_service,recall@10,query,Male,108,0.7810920047031158,0.7116762198706644,0.8453215020576131
mpnet,talent_to_job,observed,quality_of_service,ndcg@10,query,Female,60,0.5424753836387574,0.46692569519879495,0.6186935742787452
mpnet,talent_to_job,observed,quality_of_service,ndcg@10,query,Male,108,0.5152340246870041,0.45980648698742366,0.5704912254089017
mpnet,talent_to_job,observed,quality_of_service,recall@1,query,Female,60,0.20416666666666666,0.11666666666666667,0.30416666666666664
mpnet,talent_to_job,observed,quality_of_service,recall@1,query,Male,108,0.19598765432098764,0.13425925925925924,0.26388888888888884
mpnet,talent_to_job,observed,quality_of_service,mrr,query,Female,60,0.47023499163116855,0.3871796279439645,0.5560487836438922
mpnet,talent_to_job,observed,quality_of_service,mrr,query,Male,108,0.48664759938328206,0.42126573658872885,0.5526910775695497
mpnet,job_to_talent,observed,equal_opportunity,retrieved@1,relevant_pair,Female,121,0.14049586776859505,0.08264462809917356,0.2066115702479339
mpnet,job_to_talent,observed,equal_opportunity,retrieved@1,relevant_pair,Male,250,0.136,0.096,0.18
mpnet,job_to_talent,observed,equal_opportunity,retrieved@10,relevant_pair,Female,121,0.768595041322314,0.6859504132231405,0.8429752066115702
mpnet,job_to_talent,observed,equal_opportunity,retrieved@10,relevant_pair,Male,250,0.712,0.656,0.768
mpnet,job_to_talent,observed,equal_opportunity,mrr,relevant_pair,Female,121,0.3162089026654503,0.26247529099104194,0.3725077586291261
mpnet,job_to_talent,observed,equal_opportunity,mrr,relevant_pair,Male,250,0.3044099208938178,0.26699975391103326,0.34342696240938614
mpnet,job_to_talent,observed,representation,share@10_minus_pool_share,query,Female,173,0.028252572070206355,0.013569285621678254,0.04300074659456158
