model,pool,ranking,MaxSkew,MinSkew,NDKL,DTR,DIR,AttnGap,AttnL1,EO
Qwen3-Emb.$_{0.6B}$,Full-Pool,original,0.2849750197676576,-0.8943072376096723,0.0271972615828143,1.3621064194430232,1.0337338571714876,7.118112836150536,1.2626480635359543,5.098353836096747
Qwen3-Emb.$_{0.6B}$,Full-Pool,FA*IR,0.2592733793572086,-0.49333771462126264,0.0811075634122697,1.2212928611055045,1.0070862023823228,4.660115045906876,1.2876971426762513,10.514354066985653
Qwen3-Emb.$_{0.6B}$,Full-Pool,LP,0.3396866646549062,-1.610909126354003,0.14274241221711018,1.1801416414936878,0.9975343789524135,3.797525503405208,1.2830104814911922,7.599206349206355
Qwen3-Emb.$_{0.6B}$,Application-Pool,original,-0.04985086096328711,-9.210340371976182,0.2452261451940324,0.9069292811094102,1.053418733747249,-2.1094910503202504,0.7640047620227216,0.9268126338905447
Qwen3-Emb.$_{0.6B}$,Application-Pool,FA*IR,0.5793342415208346,-9.210340371976182,0.2425805597947661,0.9135785088563416,1.0487437338475016,-1.9544121655150681,0.7641034140598326,1.1362973905316598
Qwen3-Emb.$_{0.6B}$,Application-Pool,LP,0.5695644769722138,-9.210340371976182,0.2594459806929594,0.9414954365761166,1.0631493633723734,-1.3107931323548927,0.7606809304806489,2.193173103317514
Qwen3-Rerank$_{8B}$,Full-Pool,original,0.2524554898873945,-0.6441704327695116,0.029241246094471714,1.3508717179933825,0.9624386917856645,6.919947606047616,1.2737157246365045,0.5980184906909825
Qwen3-Rerank$_{8B}$,Full-Pool,FA*IR,0.22292862553370776,-0.36938623625470346,0.07466163307917684,1.3825925366854321,0.9762743349010392,7.408817627153985,1.3114534273682215,4.676857066237594
Qwen3-Rerank$_{8B}$,Full-Pool,LP,0.42966653251843434,-4.044470960087837,0.2755508589238635,1.2773952399087691,0.9884033572019244,5.473611494738051,1.2984064622766265,6.401844532279322
Qwen3-Rerank$_{8B}$,Application-Pool,original,-0.08528957651264278,-9.210340371976182,0.24680551999042752,0.9096462209535633,1.04009945945517,-2.0460405576785465,0.743139852018871,1.5683411297602812
Qwen3-Rerank$_{8B}$,Application-Pool,FA*IR,0.5842191237951451,-9.210340371976182,0.24405167229719266,0.9134536915545368,1.0317510978451605,-1.95731688519179,0.7411268108995598,0.4982779942665827
Qwen3-Rerank$_{8B}$,Application-Pool,LP,0.6281830642639386,-9.210340371976182,0.4088694676279986,0.951333706036107,1.0790587914856071,-1.0868118794440385,0.7504843317258625,7.734027229480963
