model,pool,k,ranking,ndcg,ndcg_std,skew_female,skew_female_std,skew_male,skew_male_std,dtr,dtr_std,dtr_ci_low,dtr_ci_high,dir,dir_std,n_usable
BM25,Full-Pool,10,original,10.505916156599577,1.6657556268038005,-0.08993300534629611,0.03249713690637105,-0.03353050053047111,0.021689375878796886,1.3789025029872217,0.13719746846897027,1.1434683317243608,1.6826913795092926,1.1708735674237989,0.1219304769599317,177
BM25,Full-Pool,10,FA*IR,10.859972032595099,1.685960585674549,-0.08352515351001633,0.02618974518356133,-0.011327461666063675,0.018479026356630495,1.5426240162144467,0.23708015541079416,1.1606557814885798,2.100060496632973,1.330572842500589,0.1632714680982674,177
MPNet,Full-Pool,10,original,10.652199629493204,1.6931281065567558,-0.7999354424914722,0.15950136196856315,0.07887253282945987,0.026701196612055344,1.3454984597828172,0.13424062221553862,1.1151977361381604,1.642208743076979,0.9554111410349291,0.0732584460958844,177
MPNet,Full-Pool,10,FA*IR,11.050703526901819,1.7227251121510647,-0.23295102657385772,0.02959937494966992,0.059068896510637244,0.021434533961153013,1.1846026849304823,0.1620311472937815,0.9203032949018981,1.5513399607229994,0.9810662373068877,0.10089958888167253,177
Sheared-LLaMA,Full-Pool,10,original,8.34574395079822,1.4034040765167213,-0.5291236325895324,0.106455829376045,0.11038843303921768,0.016543029903164582,1.3296311490108184,0.13221962845264085,1.103071686860225,1.6224098824209976,0.8933323162057623,0.053963221333355404,177
Sheared-LLaMA,Full-Pool,10,FA*IR,8.434432345367375,1.43126999749506,-0.24755990905900832,0.027894858255389735,0.08474628652685016,0.015133875243035529,1.0552560846010264,0.1660323128613329,0.7913761964460393,1.4408390306287833,0.8264815183772467,0.06359337209417736,177
Qwen3-Emb.$_{0.6B}$,Full-Pool,10,original,16.230191368075957,2.076739631054545,-0.4889101992384221,0.12708431238949733,-0.12418767621296144,0.07906233471492516,1.3619547892006383,0.13493666620103517,1.1294388667065771,1.6602740391766406,1.0140784156291347,0.08792522207836823,177
Qwen3-Emb.$_{0.6B}$,Full-Pool,10,FA*IR,15.982638963825742,2.0605654274261296,-0.15244395818258902,0.03463637581027936,-0.08109659517127141,0.05927920396200119,1.2200273787619353,0.15666804703462414,0.9618519929318915,1.5720107741447216,0.9848699819199452,0.09307354482665511,177
Qwen3-Rerank$_{8B}$,Full-Pool,10,original,21.42725108540831,2.3615993797160453,-0.3947355333001405,0.1077259852382469,0.0014678052622719884,0.025505615224544923,1.3508119876207565,0.13351081154618416,1.120335514787371,1.6454801496494154,0.9639120131023238,0.0921515915653906,177
Qwen3-Rerank$_{8B}$,Full-Pool,10,FA*IR,21.79566797819775,2.304999812983943,-0.1387441666897947,0.031188484940376925,-0.007455291913942,0.02298176714214045,1.38411524318686,0.15203551837889923,1.1259965532627736,1.7191474470483314,0.980280631961736,0.09806146705894199,177
BM25,Application-Pool,5,original,44.959438669709,2.7350671672740754,-2.0199043281600075,0.3061463338664178,-0.016512538901120505,0.026778790395569754,0.8945469071666522,0.08080567413676652,0.7537318996400677,1.0690710630594458,1.0115036978616818,0.06423372403232082,160
BM25,Application-Pool,5,FA*IR,44.95362931982966,2.6849411966370753,-1.971901783083963,0.3024153489020171,-0.017017816348684954,0.027165030224758135,0.8973048813475224,0.08125174004056733,0.7555976428201484,1.0724423336375288,1.002804700798803,0.06269567829367358,160
MPNet,Application-Pool,5,original,45.91045645181388,2.757973824720401,-1.3098225131249372,0.2750173186158585,-0.20138305113327465,0.06520405765465535,0.9406357390987988,0.08866753722859586,0.7871470743166809,1.1329645654423048,1.023785108914238,0.061383351200844954,160
MPNet,Application-Pool,5,FA*IR,45.64330996972982,2.7368711090851745,-1.2111400352397532,0.26514602756813865,-0.13698246259976637,0.03155383911420838,0.9477179544258212,0.08967025133710245,0.7921421736248674,1.1415946293846624,1.010221488187277,0.06021441595412668,160
Sheared-LLaMA,Application-Pool,5,original,41.91716794697746,2.7502378840910673,-0.9229460232120609,0.22757824847123442,-0.07954384835049477,0.027748411410550407,0.8990492644495566,0.08470598072605262,0.7502312129361683,1.0816316481720085,0.9888414787200621,0.05936507201847623,160
Sheared-LLaMA,Application-Pool,5,FA*IR,41.46667248076452,2.684937188746117,-0.938571548255067,0.22708964465389592,-0.06696792220394554,0.027074111506027593,0.9074961148437818,0.08611749454632815,0.7561994267992374,1.0928286033159522,0.9782074564532859,0.05829310257566442,160
Qwen3-Emb.$_{0.6B}$,Application-Pool,5,original,48.92643784596246,2.8259829370709517,-1.5633950901925033,0.2835153778160866,-0.22392624800308986,0.10200126708036944,0.9071182852914941,0.08298236942683156,0.7636162546851,1.085955328478746,1.0528004105856403,0.06188180435285542,160
Qwen3-Emb.$_{0.6B}$,Application-Pool,5,FA*IR,48.976350214556845,2.7683152653681877,-1.3950249468983131,0.2729907235375595,-0.17986950241635707,0.08409233527094345,0.9137405760846667,0.0838178457022023,0.7687208384130286,1.09445461070003,1.0482114767609578,0.06032082977076125,160
Qwen3-Rerank$_{8B}$,Application-Pool,5,original,54.592801138321065,2.7319222030347605,-1.5426892006055828,0.2840888822109801,-0.19688950509973804,0.08478062846770672,0.9081873721736069,0.0835930383253192,0.761866404103153,1.088101075189754,1.0306380297627946,0.06057136055561455,160
Qwen3-Rerank$_{8B}$,Application-Pool,5,FA*IR,54.887618820138115,2.692335638480885,-1.4171293311851902,0.27817191586597245,-0.15547382561307466,0.0635927680257424,0.9118320022121514,0.0834122730568083,0.7660451488486706,1.091178160370104,1.0220762576870022,0.05920205753926393,160
